dep_len_temperley,info_status_score,sentence_length,sent_id,text,type
25,0,18,train-s50,उनके आगे के राजाओं ने शानदार इमारतें और भवन बनवाकर इसकी शान में चार चाँद लगा दिए ।,reference
38,0,19,train-s54,यह महल राजा बीर सिंह जूदेव ने 17वीं शताब्दी में जहाँगीर के ओरछा आने के पहले बनवाया था ।,reference
34,0,20,train-s60,"इसके खुले गलियारे, बाहर निकली हुई बालकनी और खूबसूरत छत शाही शौक को आसानी से बयाँ करते हैं.",reference
13,0,11,train-s108,राणा सांगा ने यहाँ रहकर अपनी फौज को मजबूत किया ।,reference
79,-1,22,train-s138,"ऐसा देश जिसे इतिहास बेहतरीन योद्धाओं, बैगपाइपर के अनोखे संगीत और स्कर्ट पहनने वाले पुरूषों के नाम से जानता है ।",reference
27,1,14,train-s234,आप अमेरिका के लिए दिल्ली या मुंबई से सीधी फ्लाइट ले सकते हैं ।,reference
23,0,17,train-s280,यहाँ की सरकार हीरों के व्यवसाय को प्रमोट करने के लिए यहाँ फ्री विजिट करवाती है ।,reference
16,0,15,train-s317,पटुवों की हवेली के बारीक नक्काशीदार झरोखे सैलानियों को खासतौर पर आकर्षित करते हैं ।,reference
30,1,26,train-s364,"जो लोग आगरा शहर में निर्मित स्थापत्य की बेजोड़ कलाओं को देखने आते हैं, वे एक बार फतेहपुर सीकरी का रुख जरूर करते हैं.",reference
18,0,18,train-s432,"जो भी भक्त इन मंदिरों में दर्शन हेतु आते हैं, वे इनसे पूजा जरूर करवाते हैं ।",reference
35,0,23,train-s437,कभी इन तीनों का निवासस्‍थल रहा चित्‍तौडगढ़ का किला आज भी इन सभी की स्‍मृतियों को संजोए पूरी शान से खड़ा है ।,reference
29,0,19,train-s492,यहाँ आने वाले श्रद्धालु इस कुंड में आलू और चावल उबालकर उसका भोग यमुना देवी को लगाते हैं ।,reference
41,0,23,train-s652,झारखंड हाई कोर्ट ने भी राज्य में लंबे समय तक पंचायत चुनाव न कराए जाने के कारण अपनी नाराजगी व्यक्त की है ।,reference
19,0,14,train-s679,गोरखा रेजिमेंट ने २१ गोले दागकर पूर्व प्रधानमंत्री राव को अंतिम सलामी दी ।,reference
47,0,21,train-s694,यादव ने शुक्रवार को यहां पार्टी सम्मेलन में कहा कि तीसरा मोर्चा कांग्रेस और भाजपा से समान दूरी बनाए रखेगा ।,reference
38,0,18,train-s713,डॉ. हेडगेवार और पंडित मदन मोहन मालवीय ने विरोध करते हुए इसके नकारात्मक परिणामों से अवगत कराया ।,reference
9,0,7,train-s775,वह अब कुछ भी नहीं बोलता ।,reference
9,-1,10,train-s788,ये सभी देश अब उसकी संपत्ति जब्त कर सकेंगे ।,reference
16,1,11,train-s789,उसे अमरीका भी अपनी आतंकवादी सूची में डाल चुका है ।,reference
41,-1,17,train-s827,लोग इसे दोनों देशों के बीच बढ़ते रिश्ते के परिणाम के रूप में देख रहे हैं ।,reference
40,0,24,train-s841,पार्टी का मकसद इस नमक के प्रति लोगों की कमजोरी को अपने पक्ष में भुनाना था न कि नमक की उपलब्धता सुनिश्चित कराना ।,reference
33,0,23,train-s864,तरुण ने इस बात को इस तरह पेश किया - कुछ लोगों ने मुझे बताया कि हमारा काम काफी मिलता जुलता है ।,reference
55,0,25,train-s892,सामान्य आलू से कीमती इस ट्यूबर किस्म को एलपीएस के जरिए मीकन्स कंपनी गुजरात में लगाई जा रही अपनी नई यूनिट के लिए खरीदेगी ।,reference
32,0,22,train-s901,बिल्कुल छोटे और पतले आकार का ट्यूबर आलू मुख्य तौर पर चिप्स और संबंधित प्रोडक्ट बनाने में इस्तेमाल किया जाता है ।,reference
31,1,17,train-s946,उन्होंने आरोपों को झूठा करार दिया और कहा कि वह इसके जवाब में मामला दायर करेंगे ।,reference
37,0,23,train-s949,सफाई देते घूम रहे राजद नेता आज जॉर्ज पर भी ऐसा आरोप लगने के बाद अचानक आक्रामक मुद्रा में आ गए हैं ।,reference
55,0,31,train-s957,शंकर रमन हत्याकांड की जांच कर रहे विशेष जांच दल सिट ने कनिष्ठ शंकराचार्य विजयेंद्र सरस्वती को रविवार दोपहर २.०० बजे उसके समक्ष पेश होने के लिए सम्मन भेजा है ।,reference
27,0,16,train-s1092,सरकार दो किलोग्राम का खर्चा काटकर आठ किलोग्राम का भाव १८० रुपये किसान को दे ।,reference
18,0,14,train-s1096,भारत सरकार ने रविवार को ही इन कैदियों को रिहा कर दिया था ।,reference
53,0,23,train-s1097,इन कैदियों को आज सीमा सुरक्षा बल बीएसएफ के असिस्टेंट कमांडर लखीराम यादव ने पाकिस्तान रेंजर्स के मेजर अब्दुल सुमेधी को सौंपा ।,reference
15,0,16,train-s1135,प्रदेश के मुख्यमंत्री मुलायम सिंह यादव खुद अपनी जिम्मेदारियों को अंजाम नहीं दे रहे हैं ।,reference
80,0,27,train-s1171,पूर्व प्रधानमंत्री ने आईटी दिग्गजों पर कर्नाटक में कांग्रेस के साथ उनकी पार्टी की गठबंधन सरकार को अस्थिर करने के लिए अभियान छेड़ने का आरोप लगाया ।,reference
78,0,29,train-s1200,पाक के जनरल करामात ने बातचीत से पूर्व यह बयान दिया था कि न्यूयॉर्क में मनमोहन सिंह के साथ सियाचिन और कुपवाड़ा से फौजें हटाने पर बातचीत होगी ।,reference
40,1,21,train-s1227,इन्होंने गोल्फ कोर्स में घुसते ही गेट बंद करवा दिए और किसी को भी अंदर जाने की इजाजत नहीं दी ।,reference
43,0,19,train-s1230,साबिरा सुबह के समय दुल्हन जैसा लिबास पहनकर अपने ही गांव के तालिब हुसैन के घर पहुंच गई ।,reference
17,0,14,train-s1284,जमा राशि बढ़ाने का दबाव बैंक कर्मियों पर साल भर से हावी था ।,reference
