sent_id,sentence,construction_type,n_words,n_variants,prev_valence,prev_arousal,prev_coverage,prev_n_matched,prev_sentence,dep_len_mean,info_status_mean,trigram_surprisal_mean,lstm_surprisal_mean,adaptive_surprisal_mean,lex_rept_surprisal_mean,pcfg_surprisal_mean,label
train-s10005,केंद्र ने जम्मू - कश्मीर के नेताओं को बंदियों की रिहाई पर गंभीरता से विचार करने का आश्वासन दिया है ।,SOV,21,5,0.0954,0.4924,0.6667,8,असवत की यह योजना शीघ्र ही नाकाम साबित हो गई थी ।,9.6,0.0,-13.2696,-14.236,-11.7965,-13.2862,-5.9991,1
train-s10006,इसके लिए प्रधानमंत्री ने गृहमंत्री शिवराज पाटिल से उच्च स्तरीय दल बनाकर इस मामले को गंभीरता से लेने को कहा है ।,SOV,22,23,0.0892,0.4899,0.619,13,केंद्र ने जम्मू - कश्मीर के नेताओं को बंदियों की रिहाई पर गंभीरता से विचार करने का आश्वासन दिया है ।,15.1304,1.0435,-9.1324,-9.4324,-7.8412,-9.066,-3.5098,1
train-s10007,बैठक में हिस्सा लेने वाले एक कश्मीरी नेता ने 'अमर उजाला' से कहा कि पीडीपी व नेशनल कांफ्रेंस की मांग लगभग एक जैसी थी ।,SOV,27,1,-0.1344,0.5386,0.4545,10,इसके लिए प्रधानमंत्री ने गृहमंत्री शिवराज पाटिल से उच्च स्तरीय दल बनाकर इस मामले को गंभीरता से लेने को कहा है ।,-4.0,0.0,2.1428,5.1051,5.4369,1.4361,1.0045,1
train-s10008,नेशनल कांफ्रेस के नेता उमर अब्दुल्ला ने स्वयत्तता की मांग दोहराई ।,SOV,12,1,0.1409,0.5315,0.5556,15,बैठक में हिस्सा लेने वाले एक कश्मीरी नेता ने 'अमर उजाला' से कहा कि पीडीपी व नेशनल कांफ्रेंस की मांग लगभग एक जैसी थी ।,-4.0,0.0,-13.8931,-15.0936,-15.5894,-10.3888,-6.8897,1
train-s10009,जबकि पीडीपी चाहती थी कि महाराजा हरि सिंह व भारत सरकार के बीच हुए समझौते को मूल रूप में लागू किया जाए ।,SOV,23,1,0.005,0.5331,0.4167,5,नेशनल कांफ्रेस के नेता उमर अब्दुल्ला ने स्वयत्तता की मांग दोहराई ।,0.0,0.0,-3.0084,-0.8652,-5.3004,-3.0084,-6.9127,1
train-s10014,हुर्रियत कांफ्रेस की गैर मौजूदगी में हुए इस गोलमेज सम्मेलन से सरकार यह संदेश देने में जरूर कामयाब रही है कि उनकी नुमाइंदगी के बगैर भी समस्या का हल तलाश किया जा सकता है ।,SOV,35,99,-0.1773,0.5431,0.3684,7,"हालांकि, नून कश्मीर व पैंथर्स पार्टी ने पीडीपी और नेशनल कांफ्रेंस की राय से असहमति जताई है ।",-20.5152,0.0,-13.2057,-6.2563,-6.4353,-13.1968,-3.4842,1
train-s10017,गोलमेज सम्मेलन की शुरुआत करते हुए प्रधानमंत्री मनमोहन सिंह ने कहा कि हम कश्मीर के इतिहास में नए अध्याय का खाका तैयार करने में सफल रहे तो यह सम्मेलन ऐतिहासिक हो जाएगा ।,SOV,33,1,0.0605,0.5475,0.5217,12,"हालांकि, प्रधानमंत्री ने उम्मीद जताई कि सम्मेलन के बेहतर नतीजों को देखकर हुर्रियत कांफ्रेस भी इस मुहिम में शामिल हो जाएगी ।",-2.0,0.0,-1.8287,-3.5515,-2.909,-1.3775,-0.0763,1
train-s1002,वायुसेना के अभियोजन अधिकारी विंग कमांडर आर. के. दुबे ने सैनिक अदालत को सूचित किया कि डॉक्टरों का पैनल गठित किया गया है और जांच की जा रही है ।,SOV,30,5,-0.034,0.5696,0.4545,10,पार्टी के महासचिव हरकिशन सिंह सुरजीत ने मनमोहन सिंह सरकार में हारे हुए कांग्रेस नेताओं को शामिल करने पर खिन्नता जताई ।,-10.8,0.0,-23.1032,-18.9737,-19.7566,-23.0989,-3.5096,1
train-s10024,सुप्रीम कोर्ट ने बॉंबे हाईकोर्ट के फैसले का समर्थन करते हुए कहा है कि महालक्ष्मी उपक्षेत्र संरक्षित विरासत की श्रेणी में आता है ।,SOV,24,1,0.0532,0.4911,0.65,13,"बहरहाल, बैठक की कामयाबी से उत्साहित सियासी पार्टियों ने अगली बैठक की जगह भी तय कर ली है ।",5.0,0.0,-1.9853,-3.3564,0.752,-1.9921,-2.1595,1
train-s10027,चूंकि हाईकोर्ट ने स्पष्ट किया है कि महाराष्ट्र हेरिटेज कंजरवेशन कमेटी (एमएचसीसी) ने कहा है कि राज्य सरकार का इरादा इस क्षेत्र को संरक्षित संपदा के तौर पर लेना है ।,SOV,33,5,0.1392,0.5172,0.5833,14,सुप्रीम कोर्ट ने बॉंबे हाईकोर्ट के फैसले का समर्थन करते हुए कहा है कि महालक्ष्मी उपक्षेत्र संरक्षित विरासत की श्रेणी में आता है ।,0.0,0.0,-14.2193,-16.5742,-15.4442,-14.9201,-6.867,1
