dep_len_temperley,info_status_score,sentence_length,sent_id,variant_order,is_reference,deprel_sequence,type
25,0,18,train-s50,"[4, 10, 12, 15]",True,nsubj advcl obl compound,reference
25,0,18,train-s50,"[4, 12, 10, 15]",False,nsubj obl advcl compound,variant
25,0,18,train-s50,"[15, 10, 12, 4]",False,compound advcl obl nsubj,variant
25,0,18,train-s50,"[15, 12, 10, 4]",False,compound obl advcl nsubj,variant
38,0,19,train-s54,"[2, 6, 9, 14]",True,obj nsubj obl obl,reference
38,0,19,train-s54,"[2, 6, 14, 9]",False,obj nsubj obl obl,variant
38,0,19,train-s54,"[2, 9, 6, 14]",False,obj obl nsubj obl,variant
38,0,19,train-s54,"[2, 9, 14, 6]",False,obj obl obl nsubj,variant
38,0,19,train-s54,"[2, 14, 6, 9]",False,obj obl nsubj obl,variant
38,0,19,train-s54,"[2, 14, 9, 6]",False,obj obl obl nsubj,variant
38,0,19,train-s54,"[6, 2, 9, 14]",False,nsubj obj obl obl,variant
38,0,19,train-s54,"[6, 2, 14, 9]",False,nsubj obj obl obl,variant
38,0,19,train-s54,"[6, 9, 2, 14]",False,nsubj obl obj obl,variant
38,0,19,train-s54,"[6, 9, 14, 2]",False,nsubj obl obl obj,variant
38,0,19,train-s54,"[6, 14, 2, 9]",False,nsubj obl obj obl,variant
38,0,19,train-s54,"[6, 14, 9, 2]",False,nsubj obl obl obj,variant
38,0,19,train-s54,"[9, 2, 14, 6]",False,obl obj obl nsubj,variant
38,0,19,train-s54,"[9, 6, 14, 2]",False,obl nsubj obl obj,variant
38,0,19,train-s54,"[9, 14, 2, 6]",False,obl obl obj nsubj,variant
38,0,19,train-s54,"[9, 14, 6, 2]",False,obl obl nsubj obj,variant
38,0,19,train-s54,"[14, 2, 9, 6]",False,obl obj obl nsubj,variant
38,0,19,train-s54,"[14, 6, 9, 2]",False,obl nsubj obl obj,variant
38,0,19,train-s54,"[14, 9, 2, 6]",False,obl obl obj nsubj,variant
38,0,19,train-s54,"[14, 9, 6, 2]",False,obl obl nsubj obj,variant
34,0,20,train-s60,"[3, 13, 15, 17]",True,nsubj obj obl compound,reference
34,0,20,train-s60,"[3, 13, 17, 15]",False,nsubj obj compound obl,variant
34,0,20,train-s60,"[3, 15, 13, 17]",False,nsubj obl obj compound,variant
34,0,20,train-s60,"[13, 3, 15, 17]",False,obj nsubj obl compound,variant
34,0,20,train-s60,"[13, 15, 3, 17]",False,obj obl nsubj compound,variant
34,0,20,train-s60,"[15, 17, 13, 3]",False,obl compound obj nsubj,variant
34,0,20,train-s60,"[17, 3, 15, 13]",False,compound nsubj obl obj,variant
34,0,20,train-s60,"[17, 13, 15, 3]",False,compound obj obl nsubj,variant
34,0,20,train-s60,"[17, 15, 3, 13]",False,compound obl nsubj obj,variant
34,0,20,train-s60,"[17, 15, 13, 3]",False,compound obl obj nsubj,variant
13,0,11,train-s108,"[2, 5, 7, 9]",True,nsubj advcl obj compound,reference
13,0,11,train-s108,"[2, 5, 9, 7]",False,nsubj advcl compound obj,variant
13,0,11,train-s108,"[2, 7, 5, 9]",False,nsubj obj advcl compound,variant
13,0,11,train-s108,"[7, 2, 5, 9]",False,obj nsubj advcl compound,variant
13,0,11,train-s108,"[7, 9, 5, 2]",False,obj compound advcl nsubj,variant
13,0,11,train-s108,"[9, 5, 2, 7]",False,compound advcl nsubj obj,variant
13,0,11,train-s108,"[9, 5, 7, 2]",False,compound advcl obj nsubj,variant
13,0,11,train-s108,"[9, 7, 5, 2]",False,compound obj advcl nsubj,variant
79,-1,22,train-s138,"[2, 3, 4, 18]",True,obj acl nsubj acl,reference
79,-1,22,train-s138,"[2, 18, 4, 3]",False,obj acl nsubj acl,variant
79,-1,22,train-s138,"[3, 4, 18, 2]",False,acl nsubj acl obj,variant
79,-1,22,train-s138,"[18, 4, 3, 2]",False,acl nsubj acl obj,variant
27,1,14,train-s234,"[1, 2, 5, 10]",True,nsubj obl obl obj,reference
27,1,14,train-s234,"[1, 2, 10, 5]",False,nsubj obl obj obl,variant
27,1,14,train-s234,"[1, 5, 2, 10]",False,nsubj obl obl obj,variant
27,1,14,train-s234,"[1, 5, 10, 2]",False,nsubj obl obj obl,variant
27,1,14,train-s234,"[1, 10, 2, 5]",False,nsubj obj obl obl,variant
27,1,14,train-s234,"[1, 10, 5, 2]",False,nsubj obj obl obl,variant
27,1,14,train-s234,"[2, 1, 5, 10]",False,obl nsubj obl obj,variant
27,1,14,train-s234,"[2, 5, 1, 10]",False,obl obl nsubj obj,variant
27,1,14,train-s234,"[2, 5, 10, 1]",False,obl obl obj nsubj,variant
27,1,14,train-s234,"[2, 10, 5, 1]",False,obl obj obl nsubj,variant
27,1,14,train-s234,"[5, 1, 2, 10]",False,obl nsubj obl obj,variant
27,1,14,train-s234,"[5, 2, 1, 10]",False,obl obl nsubj obj,variant
27,1,14,train-s234,"[5, 2, 10, 1]",False,obl obl obj nsubj,variant
27,1,14,train-s234,"[5, 10, 2, 1]",False,obl obj obl nsubj,variant
27,1,14,train-s234,"[10, 1, 2, 5]",False,obj nsubj obl obl,variant
27,1,14,train-s234,"[10, 1, 5, 2]",False,obj nsubj obl obl,variant
27,1,14,train-s234,"[10, 2, 1, 5]",False,obj obl nsubj obl,variant
27,1,14,train-s234,"[10, 2, 5, 1]",False,obj obl obl nsubj,variant
27,1,14,train-s234,"[10, 5, 1, 2]",False,obj obl nsubj obl,variant
27,1,14,train-s234,"[10, 5, 2, 1]",False,obj obl obl nsubj,variant
23,0,17,train-s280,"[3, 9, 12, 14]",True,nsubj advcl obl compound,reference
23,0,17,train-s280,"[3, 12, 9, 14]",False,nsubj obl advcl compound,variant
23,0,17,train-s280,"[14, 9, 12, 3]",False,compound advcl obl nsubj,variant
23,0,17,train-s280,"[14, 12, 9, 3]",False,compound obl advcl nsubj,variant
16,0,15,train-s317,"[7, 8, 10, 12]",True,nsubj obj obl compound,reference
16,0,15,train-s317,"[7, 8, 12, 10]",False,nsubj obj compound obl,variant
16,0,15,train-s317,"[7, 10, 8, 12]",False,nsubj obl obj compound,variant
16,0,15,train-s317,"[8, 7, 10, 12]",False,obj nsubj obl compound,variant
16,0,15,train-s317,"[8, 10, 7, 12]",False,obj obl nsubj compound,variant
16,0,15,train-s317,"[10, 12, 8, 7]",False,obl compound obj nsubj,variant
16,0,15,train-s317,"[12, 7, 10, 8]",False,compound nsubj obl obj,variant
16,0,15,train-s317,"[12, 8, 10, 7]",False,compound obj obl nsubj,variant
16,0,15,train-s317,"[12, 10, 7, 8]",False,compound obl nsubj obj,variant
16,0,15,train-s317,"[12, 10, 8, 7]",False,compound obl obj nsubj,variant
30,1,26,train-s364,"[16, 18, 22, 23]",True,nsubj obl compound advmod,reference
30,1,26,train-s364,"[16, 18, 23, 22]",False,nsubj obl advmod compound,variant
30,1,26,train-s364,"[16, 23, 18, 22]",False,nsubj advmod obl compound,variant
30,1,26,train-s364,"[22, 18, 23, 16]",False,compound obl advmod nsubj,variant
30,1,26,train-s364,"[22, 23, 18, 16]",False,compound advmod obl nsubj,variant
30,1,26,train-s364,"[23, 22, 18, 16]",False,advmod compound obl nsubj,variant
18,0,18,train-s432,"[12, 13, 14, 15]",True,nsubj obj compound obl,reference
18,0,18,train-s432,"[12, 13, 15, 14]",False,nsubj obj obl compound,variant
18,0,18,train-s432,"[12, 15, 13, 14]",False,nsubj obl obj compound,variant
18,0,18,train-s432,"[13, 12, 15, 14]",False,obj nsubj obl compound,variant
18,0,18,train-s432,"[13, 15, 12, 14]",False,obj obl nsubj compound,variant
18,0,18,train-s432,"[14, 12, 15, 13]",False,compound nsubj obl obj,variant
18,0,18,train-s432,"[14, 13, 15, 12]",False,compound obj obl nsubj,variant
18,0,18,train-s432,"[14, 15, 12, 13]",False,compound obl nsubj obj,variant
18,0,18,train-s432,"[14, 15, 13, 12]",False,compound obl obj nsubj,variant
18,0,18,train-s432,"[15, 14, 13, 12]",False,obl compound obj nsubj,variant
35,0,23,train-s437,"[9, 10, 17, 19]",True,nsubj nmod advcl obl,reference
35,0,23,train-s437,"[19, 17, 10, 9]",False,obl advcl nmod nsubj,variant
29,0,19,train-s492,"[4, 11, 13, 15]",True,nsubj advcl obj iobj,reference
29,0,19,train-s492,"[4, 11, 15, 13]",False,nsubj advcl iobj obj,variant
29,0,19,train-s492,"[4, 13, 11, 15]",False,nsubj obj advcl iobj,variant
29,0,19,train-s492,"[4, 15, 11, 13]",False,nsubj iobj advcl obj,variant
29,0,19,train-s492,"[11, 15, 4, 13]",False,advcl iobj nsubj obj,variant
29,0,19,train-s492,"[13, 4, 11, 15]",False,obj nsubj advcl iobj,variant
29,0,19,train-s492,"[13, 4, 15, 11]",False,obj nsubj iobj advcl,variant
29,0,19,train-s492,"[13, 11, 15, 4]",False,obj advcl iobj nsubj,variant
29,0,19,train-s492,"[13, 15, 11, 4]",False,obj iobj advcl nsubj,variant
29,0,19,train-s492,"[15, 11, 4, 13]",False,iobj advcl nsubj obj,variant
29,0,19,train-s492,"[15, 11, 13, 4]",False,iobj advcl obj nsubj,variant
29,0,19,train-s492,"[15, 13, 11, 4]",False,iobj obj advcl nsubj,variant
41,0,23,train-s652,"[3, 14, 19, 20]",True,nsubj advcl obj compound,reference
41,0,23,train-s652,"[3, 14, 20, 19]",False,nsubj advcl compound obj,variant
